date,km,pace,hr,location,notes
2026-03-01,1,8.39,126,indoor,
2026-03-01,2,8.35,136,indoor,
2026-03-01,3,8.31,146,indoor,
2026-03-02,1,10.46,109,indoor,
2026-03-02,2,11.09,114,indoor,
2026-03-02,3,11.13,118,indoor,
2026-03-06,1,11.03,101,indoor,
2026-03-06,2,11.29,111,indoor,
2026-03-06,3,11.1,117,indoor,
2026-03-09,1,10.32,127,indoor,
2026-03-09,2,10.42,142,indoor,
2026-03-09,3,11.26,146,indoor,
2026-03-11,1,10.21,118,indoor,
2026-03-11,2,10.36,130,indoor,
2026-03-12,1,11.16,120,indoor,
2026-03-12,2,11.18,132,indoor,
2026-03-15,1,10.44,133,indoor,
2026-03-15,2,11.19,145,indoor,
2026-03-15,3,10.4,144,indoor,
2026-03-15,4,11.12,147,indoor,
2026-03-16,1,11.05,139,indoor,
2026-04-10,1,9.01,135,indoor,
2026-04-10,2,8.2,154,indoor,
2026-04-20,1,8.44,125,indoor,
2026-04-20,2,8.41,141,indoor,
2026-04-20,3,8.4,146,indoor,
2026-04-22,1,8.47,118,indoor,
2026-04-22,2,8.41,127,indoor,
2026-04-22,3,8.4,141,indoor,
2026-04-22,4,8.4,140,indoor,
2026-04-22,5,8.41,141,indoor,
2026-05-17,1,9.07,142,outdoor,
2026-05-17,2,10.25,147,outdoor,
2026-05-17,3,9.03,153,outdoor,
2026-05-17,4,9.36,155,outdoor,
2026-05-17,5,9.43,157,outdoor,
2026-05-18,1,9.33,124,outdoor,
2026-05-18,2,9.41,137,outdoor,
2026-05-18,3,8.21,143,outdoor,
2026-05-18,4,9.35,144,outdoor,
2026-05-18,5,8.07,156,outdoor,
2026-05-18,6,7.37,165,outdoor,
2026-05-20,1,8.37,141,outdoor,
2026-05-20,2,9.15,153,outdoor,
2026-05-20,3,8.0,157,outdoor,
2026-05-20,4,7.56,163,outdoor,
2026-05-20,5,7.52,165,outdoor,
2026-05-20,6,8.56,161,outdoor,
2026-05-25,1,8.06,129,outdoor,
2026-05-25,2,9.01,132,outdoor,
2026-05-25,3,8.09,135,outdoor,
2026-05-25,4,9.31,134,outdoor,
2026-05-25,5,8.36,143,outdoor,
2026-05-25,6,7.28,146,outdoor,
2026-05-27,1,7.37,137,outdoor,
2026-05-27,2,9.11,152,outdoor,
2026-05-27,3,8.18,162,outdoor,
2026-05-27,4,8.23,166,outdoor,
2026-05-27,5,8.24,167,outdoor,
2026-05-27,6,8.11,167,outdoor,
2026-06-01,1,7.48,143,outdoor,
2026-06-01,2,9.0,134,outdoor,
2026-06-01,3,8.37,129,outdoor,
2026-06-01,4,8.26,138,outdoor,
2026-06-01,5,8.02,141,outdoor,
2026-06-01,6,8.33,139,outdoor,
2026-06-14,1,8.48,121,outdoor,
2026-06-14,2,9.41,136,outdoor,
2026-06-14,3,7.54,145,outdoor,
2026-06-14,4,8.03,152,outdoor,
2026-06-14,5,8.24,154,outdoor,
2026-06-14,6,8.2,159,outdoor,
2026-06-21,1,7.32,126,outdoor,
2026-06-21,2,8.02,142,outdoor,
2026-06-21,3,7.44,144,outdoor,
2026-06-21,4,8.07,148,outdoor,
2026-06-21,5,7.22,157,outdoor,
2026-06-21,6,7.37,156,outdoor,
2026-06-22,1,7.08,128,outdoor,
2026-06-22,2,9.12,131,outdoor,
2026-06-22,3,7.43,137,outdoor,
2026-06-22,4,7.43,146,outdoor,
2026-06-22,5,8.44,148,outdoor,
2026-06-22,6,8.2,148,outdoor,
